schema_context,column,check,check_number,failure_case,index
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-20,1484
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-02,1769
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-03,1795
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-03,1794
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-03,1793
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-03,1792
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-03,1791
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-03,1790
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-03,1789
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-03,1788
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-03,1787
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-03,1786
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-03,1785
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-03,1784
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-03,1783
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-03,1782
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-03,1781
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-03,1780
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-03,1779
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-02,1778
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-02,1777
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-02,1776
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-02,1775
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-02,1774
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-02,1773
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-02,1772
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-02,1771
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-03,1796
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-03,1797
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-03,1798
